[09:50:53] Discard was WILD!!!
[09:50:53] Player received: Blue_9(Clone)
[09:50:53] Enemy1 received: Red_3(Clone)
[09:50:53] Enemy2 received: Green_4(Clone)
[09:50:53] Enemy3 received: CardW4(Clone)
[09:50:53] Player received: Green_9(Clone)
[09:50:53] Enemy1 received: Green_3(Clone)
[09:50:53] Enemy2 received: Blue_D(Clone)
[09:50:53] Enemy3 received: Blue_5(Clone)
[09:50:53] Player received: Red_D(Clone)
[09:50:53] Enemy1 received: Red_D(Clone)
[09:50:53] Enemy2 received: Green_D(Clone)
[09:50:53] Enemy3 received: Red_D(Clone)
[09:50:53] Player received: Yellow_9(Clone)
[09:50:53] Enemy1 received: Blue_D(Clone)
[09:50:53] Enemy2 received: CardW(Clone)
[09:50:53] Enemy3 received: Green_4(Clone)
[09:50:53] Player received: Yellow_6(Clone)
[09:50:53] Enemy1 received: Blue_R(Clone)
[09:50:53] Enemy2 received: Red_0(Clone)
[09:50:53] Enemy3 received: Red_6(Clone)
[09:50:53] Player received: Green_8(Clone)
[09:50:53] Enemy1 received: Yellow_0(Clone)
[09:50:53] Enemy2 received: Green_6(Clone)
[09:50:53] Enemy3 received: Green_2(Clone)
[09:50:53] Player received: Blue_7(Clone)
[09:50:53] Enemy1 received: Red_R(Clone)
[09:50:53] Enemy2 received: Blue_S(Clone)
[09:50:53] Enemy3 received: Blue_S(Clone)
[09:50:53] DiscardPile received: Green_R(Clone)
[09:50:53] Dealt cards
