[09:59:34] Discard was WILD!!!
[09:59:34] Player received: Green_7(Clone)
[09:59:34] Enemy1 received: CardW4(Clone)
[09:59:34] Enemy2 received: Blue_7(Clone)
[09:59:34] Enemy3 received: Blue_3(Clone)
[09:59:34] Player received: Yellow_2(Clone)
[09:59:34] Enemy1 received: Green_6(Clone)
[09:59:34] Enemy2 received: Red_D(Clone)
[09:59:34] Enemy3 received: Red_4(Clone)
[09:59:34] Player received: Blue_D(Clone)
[09:59:34] Enemy1 received: CardW4(Clone)
[09:59:34] Enemy2 received: Green_8(Clone)
[09:59:34] Enemy3 received: CardW(Clone)
[09:59:34] Player received: Green_3(Clone)
[09:59:34] Enemy1 received: Yellow_R(Clone)
[09:59:34] Enemy2 received: CardW(Clone)
[09:59:34] Enemy3 received: Yellow_R(Clone)
[09:59:34] Player received: Red_D(Clone)
[09:59:34] Enemy1 received: Yellow_D(Clone)
[09:59:34] Enemy2 received: Red_D(Clone)
[09:59:34] Enemy3 received: CardW(Clone)
[09:59:34] Player received: Yellow_3(Clone)
[09:59:34] Enemy1 received: Yellow_3(Clone)
[09:59:34] Enemy2 received: Yellow_0(Clone)
[09:59:34] Enemy3 received: Blue_0(Clone)
[09:59:34] Player received: Red_D(Clone)
[09:59:34] Enemy1 received: Red_0(Clone)
[09:59:34] Enemy2 received: Red_R(Clone)
[09:59:34] Enemy3 received: Red_6(Clone)
[09:59:34] DiscardPile received: Green_5(Clone)
[09:59:34] Dealt cards
